Barcode,Product Name,Packing Size,Previous Price,Pack Price,Supplier,Selling Price,Promotion Price,Other,Filename
,rm2280 akikofunny stick 10g12,12.0,48.51425106124924,48.51425106124924,jb yap brothers food sdn bhd,0.0,0.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,akiko vfood pastel marshmallow 60g50,10.0,29.563371740448755,29.563371740448755,jb yap brothers food sdn bhd,0.0,0.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,akiko vitaland balllpop 2248,10.0,29.108550636749545,29.108550636749545,jb yap brothers food sdn bhd,0.0,0.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,push pop candy 14g2020,400.0,0.31665611146295125,260.76409945421466,jb yap brothers food sdn bhd,0.0,0.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,corntoz  cheezy pizza 80g105,50.0,25.166767738023044,25.166767738023044,jb yap brothers food sdn bhd,1.0,1.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,corntoz chilli cheez 100g105,50.0,25.166767738023044,25.166767738023044,jb yap brothers food sdn bhd,1.0,1.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,corntoz hot  spicy 100g105,50.0,25.166767738023044,25.166767738023044,jb yap brothers food sdn bhd,1.0,1.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,corntoz smoky bbq 100g105,50.0,25.166767738023044,25.166767738023044,jb yap brothers food sdn bhd,1.0,1.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,double decker cheese ring 70g,50.0,23.97058823529412,23.97058823529412,jb yap brothers food sdn bhd,0.85,0.85,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,double decker chicken ring 65g,50.0,23.97058823529412,23.97058823529412,jb yap brothers food sdn bhd,0.85,0.85,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,double decker prawn ring 80g,50.0,23.97058823529412,23.97058823529412,jb yap brothers food sdn bhd,0.85,0.85,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,fizzy kola 120g48,48.0,29.836264402668284,31.63987138263666,jb yap brothers food sdn bhd,98.4,98.4,,20260425145412440.pdf
,fruit plus chewy candy apple 120g,48.0,29.836264402668284,29.836264402668284,jb yap brothers food sdn bhd,1.0,1.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,fruit plus chewy candy blkcurrent 120g,48.0,29.836264402668284,29.836264402668284,jb yap brothers food sdn bhd,1.0,1.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,fruit plus chewy candy cool blue 120g,48.0,29.836264402668284,29.836264402668284,jb yap brothers food sdn bhd,1.0,1.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,fruit plus chewy candy lychee 120g,48.0,29.836264402668284,29.836264402668284,jb yap brothers food sdn bhd,1.0,1.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,fruit plus chewy candy mango 120g,48.0,29.836264402668284,29.836264402668284,jb yap brothers food sdn bhd,1.0,1.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,fruit plus chewy candy sberry 120g,48.0,29.836264402668284,29.836264402668284,jb yap brothers food sdn bhd,1.0,1.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,fuyun peeled chestnut 108g50,50.0,46.9981807155852,46.9981807155852,jb yap brothers food sdn bhd,0.0,0.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,goodfood sotong panggang gula 210g30,30.0,68.67798665858096,68.67798665858096,jb yap brothers food sdn bhd,3.95,3.95,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,goodfood black pepper cfish 210g30,30.0,68.67798665858096,68.67798665858096,jb yap brothers food sdn bhd,3.95,3.95,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,rm 22060 goodfood black pepper,60.0,34.56640388114008,34.56640388114008,jb yap brothers food sdn bhd,1.0,1.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,rm22060 goodfood sotong panggang,60.0,34.56640388114008,34.56640388114008,jb yap brothers food sdn bhd,1.0,1.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,haw flakes 1248 not ret,48.0,53.123104912067916,53.123104912067916,jb yap brothers food sdn bhd,0.0,0.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,40gx10x15 kuaci rama rama marjerin,150.0,41.16130988477865,41.16130988477865,jb yap brothers food sdn bhd,0.0,0.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,lot 100 sour gummy blackcurrent 130g24,24.0,33.47483323226198,33.47483323226198,jb yap brothers food sdn bhd,0.0,0.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,lot 100 sour gummy mango 130g24,24.0,33.47483323226198,33.47483323226198,jb yap brothers food sdn bhd,0.0,0.0,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,lot 100 sour gummy strawberry 130g24,24.0,33.47483323226198,33.47483323226198,jb yap brothers food sdn bhd,1.95,1.95,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,lot 100 sour gummy apple 95g,24.0,25.23347483323226,25.23347483323226,jb yap brothers food sdn bhd,1.95,1.95,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,lot 100 sour gummy black currant 95g,24.0,25.23347483323226,25.23347483323226,jb yap brothers food sdn bhd,1.95,1.95,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
